caller,tokenIn,tokenAmountIn,block
0xDDaa0F78F9914044D416Fc1E62e7f7cB57916C40,0x0Ae055097C6d159879521C384F1D2123D1f195e6,257562582112350043588,11296143
0xDDaa0F78F9914044D416Fc1E62e7f7cB57916C40,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,524955260726072471,11296143
0xDDaa0F78F9914044D416Fc1E62e7f7cB57916C40,0x0Ae055097C6d159879521C384F1D2123D1f195e6,10922229769959384808,11296204
0x0AdC6E906fFa256f3445f1732B5C4C7C40645BC9,0x0Ae055097C6d159879521C384F1D2123D1f195e6,78962646433915455653,11311072
0x73D605Ecd266B05a790747A621dB36A1Decf19c3,0x0Ae055097C6d159879521C384F1D2123D1f195e6,419999999999999422477,11311583
0x73D605Ecd266B05a790747A621dB36A1Decf19c3,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,770266686494284862,11311583
0x73aaEe3C73f05A6b816B371142Fd0Ee5CF6CfC72,0x0Ae055097C6d159879521C384F1D2123D1f195e6,50000000000000000000,11336923
0x73D605Ecd266B05a790747A621dB36A1Decf19c3,0x0Ae055097C6d159879521C384F1D2123D1f195e6,469089764662460148732,11343855
0xAA8641ed479dbB2111FAd3ED6D8624aF3583cf3E,0x0Ae055097C6d159879521C384F1D2123D1f195e6,73760691661990544035,11349888
0xAA8641ed479dbB2111FAd3ED6D8624aF3583cf3E,0x0Ae055097C6d159879521C384F1D2123D1f195e6,25097599578289892859,11364822
0xEb0c4DF6BCB955afd89Bc08F4E237f6325Cf8216,0x0Ae055097C6d159879521C384F1D2123D1f195e6,49999999999999676850,11369718
0xEb0c4DF6BCB955afd89Bc08F4E237f6325Cf8216,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,86169488875719094,11369718
0xAA8641ed479dbB2111FAd3ED6D8624aF3583cf3E,0x0Ae055097C6d159879521C384F1D2123D1f195e6,28229394943227764208,11384995
0x00c94151e71D564a60fe43fD7E9C88CAdf8Ea087,0x0Ae055097C6d159879521C384F1D2123D1f195e6,49542491373408073502920,11425474
0x00c94151e71D564a60fe43fD7E9C88CAdf8Ea087,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,112098284462217826846,11425474
0x4b22C52A42A4E2d2028228e5622Fa3EE25D116A8,0x0Ae055097C6d159879521C384F1D2123D1f195e6,6999999999999649440,11427663
0x4b22C52A42A4E2d2028228e5622Fa3EE25D116A8,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,15113816475891035,11427663
0xAA8641ed479dbB2111FAd3ED6D8624aF3583cf3E,0x0Ae055097C6d159879521C384F1D2123D1f195e6,9003817039096630501,11440657
0x73D605Ecd266B05a790747A621dB36A1Decf19c3,0x0Ae055097C6d159879521C384F1D2123D1f195e6,749999999999999542363,11509474
0x73D605Ecd266B05a790747A621dB36A1Decf19c3,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,1314355149883519465,11509474
0xA8605061937650fa0fD018cda6de9342a28d646c,0x0Ae055097C6d159879521C384F1D2123D1f195e6,2626141323564875191970,11509768
0xA8605061937650fa0fD018cda6de9342a28d646c,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,4613232194772760023,11509768
0x6bcb32Ef1f41CAB29f9EE37C4a48775424016e4E,0x0Ae055097C6d159879521C384F1D2123D1f195e6,5025316448339150351710,11540119
0x6bcb32Ef1f41CAB29f9EE37C4a48775424016e4E,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,7054810113966650168,11540119
0x6bcb32Ef1f41CAB29f9EE37C4a48775424016e4E,0x0Ae055097C6d159879521C384F1D2123D1f195e6,2366265756339601711321,11641327
0x6bcb32Ef1f41CAB29f9EE37C4a48775424016e4E,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3267362118666010820,11641327
0x40cD68D8c3795fb846c58c4FF8ba0E40b8f9B27D,0x0Ae055097C6d159879521C384F1D2123D1f195e6,829263586916582061021,11681429
0x40cD68D8c3795fb846c58c4FF8ba0E40b8f9B27D,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,1314787957262623865,11681429
